Main Food Description,Food code,WWEIA Category number,WWEIA Category Description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Bread, oat bran, toasted",51501050,4202,Yeast breads,296,9.23,53.3,8.94,4.4,4.84,0.773,1.734,1.87,0,5,5,0,0,0,0,75,0.351,0.264,3.446,0.075,33,25,81,58,20.5,0.03,0,0,0,0.53,0,1.6,73,138,41,2.97,1.12,0.23,27,156,491,0,0,0,0,0,0,0,0.005,0.008,0.579,0.163,0.025,1.709,0,0,1.762,0.11,0,0,0,0,0,30.44
"Bread, oatmeal",51501010,4202,Yeast breads,269,8.4,48.5,8.14,4,4.4,0.703,1.578,1.702,0,5,5,0,0,0,0,72,0.399,0.24,3.136,0.068,35,27,87,62,18.7,0.03,0,0,0,0.48,0,1.5,66,126,37,2.7,1.02,0.209,24.6,142,447,0,0,0,0,0,0,0,0.005,0.007,0.527,0.148,0.023,1.555,0,0,1.603,0.1,0,0,0,0,0,36.7
"Bread, oatmeal, toasted",51501020,4202,Yeast breads,296,9.23,53.3,8.94,4.4,4.84,0.773,1.734,1.87,0,5,5,0,0,0,0,75,0.351,0.264,3.446,0.075,33,25,81,58,20.5,0.03,0,0,0,0.53,0,1.6,73,138,41,2.97,1.12,0.23,27,156,491,0,0,0,0,0,0,0,0.005,0.008,0.579,0.163,0.025,1.709,0,0,1.762,0.11,0,0,0,0,0,30.44
"Bread, onion",51121110,4202,Yeast breads,238,8.81,44.32,3.33,1.7,2.95,0.994,0.687,0.681,4,16,17,0,3,0,0,40,0.486,0.262,3.481,0.072,43,26,100,70,9,0.05,0,0.9,0.2,0.28,0,0.8,36,93,24,3.11,0.72,0.117,18.8,124,482,0,0,0,0.027,0.019,0.012,0.027,0.032,0.103,0.53,0.209,0.028,0.656,0.002,0,0.639,0.045,0,0.001,0,0.001,0,42.18
"Bread, onion, toasted",51121120,4202,Yeast breads,262,9.68,48.7,3.66,1.9,3.24,1.092,0.755,0.748,4,17,17,0,3,0,0,42,0.427,0.288,3.825,0.079,40,25,93,65,9.8,0.06,0,0.8,0.2,0.31,0,0.9,40,102,26,3.41,0.79,0.129,20.7,136,530,0,0,0,0.03,0.021,0.013,0.03,0.035,0.113,0.582,0.23,0.031,0.721,0.002,0,0.702,0.049,0,0.001,0,0.001,0,36.46
"Bread, paratha",51300185,4202,Yeast breads,326,6.36,45.35,4.15,9.6,13.2,5.826,3.837,2.484,1,2,2,0,0,0,0,11,0.088,0.076,1.83,0.08,0,8,8,8,6.3,0,0,0,0,1.35,0,3.4,25,120,37,1.61,0.82,0.146,7.1,139,452,0,0,0,0,0,0.004,0.016,0.051,0.113,4.897,0.644,0.017,3.788,0.027,0.001,2.407,0.069,0,0.003,0,0,0,33.5
"Bread, pita",51109100,4202,Yeast breads,275,9.1,55.7,1.3,2.2,1.2,0.166,0.105,0.535,0,0,0,0,0,0,0,53,0.599,0.327,4.632,0.034,83,24,165,107,14.6,0,0,0,0,0.3,0,0.2,86,97,26,2.62,0.84,0.168,27.1,120,536,0,0,0,0,0,0,0,0,0,0.156,0.009,0.013,0.092,0,0,0.511,0.024,0,0,0,0,0,32.1
"Bread, pita with fruit",51109150,4202,Yeast breads,279,8.16,59.51,11.61,2.6,1.05,0.154,0.092,0.457,0,0,0,0,0,0,0,44,0.516,0.293,3.996,0.055,70,21,139,90,14,0,0,0.3,0,0.27,0,0.7,82,97,28,2.49,0.76,0.18,22.8,209,454,0,0,0,0.001,0,0,0,0,0.001,0.14,0.01,0.011,0.081,0,0,0.435,0.022,0,0,0,0,0,29.42
"Bread, pita, wheat or cracked wheat",51301620,4202,Yeast breads,262,9.8,55.89,2.87,6.1,1.71,0.208,0.349,1.055,0,0,0,0,4,0,0,53,0.339,0.08,2.84,0.265,0,35,35,35,26.5,0,0,0,0,0.61,0,1.4,15,180,69,3.06,1.52,0.29,44,170,421,0,0,0,0,0,0,0,0.001,0.004,0.373,0.022,0.037,0.312,0,0,1.001,0.052,0,0.003,0,0,0,30.6
"Bread, pita, whole wheat",51301600,4202,Yeast breads,262,9.8,55.89,2.87,6.1,1.71,0.208,0.349,1.055,0,0,0,0,4,0,0,53,0.339,0.08,2.84,0.265,0,35,35,35,26.5,0,0,0,0,0.61,0,1.4,15,180,69,3.06,1.52,0.29,44,170,421,0,0,0,0,0,0,0,0.001,0.004,0.373,0.022,0.037,0.312,0,0,1.001,0.052,0,0.003,0,0,0,30.6
"Bread, potato",51127010,4202,Yeast breads,266,12.5,47.07,9.38,6.3,3.13,0,0,0,0,24,24,0,6,0,0,17,0.188,0.106,1.25,0.232,33,92,149,126,18.4,0.15,0,0,0.1,0.47,0,6.8,188,369,28,2.25,1.44,0.094,9.5,718,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.55
"Bread, potato, toasted",51127020,4202,Yeast breads,292,13.74,51.72,10.31,6.9,3.44,0,0,0,0,25,25,0,6,0,0,18,0.165,0.116,1.374,0.255,31,86,139,118,20.2,0.16,0,0,0.1,0.52,0,7.5,207,405,31,2.47,1.58,0.103,10.4,789,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.98
"Bread, pumpernickel",51404010,4202,Yeast breads,250,8.7,47.5,0.53,6.5,3.1,0.437,0.932,1.237,0,0,0,0,0,0,0,46,0.327,0.305,3.091,0.126,59,34,134,93,14.6,0,0,0,0,0.42,0,0.8,68,178,54,2.87,1.48,0.287,24.5,208,596,0,0,0,0,0,0,0,0,0.002,0.332,0.102,0.018,0.912,0.002,0,1.145,0.092,0,0,0,0,0,37.9
"Bread, pumpernickel, toasted",51404020,4202,Yeast breads,275,9.56,52.2,0.58,7.1,3.41,0.48,1.024,1.359,0,0,0,0,0,0,0,48,0.287,0.335,3.397,0.138,55,32,125,87,16,0,0,0,0,0.46,0,0.9,75,196,59,3.15,1.63,0.315,26.9,229,655,0,0,0,0,0,0,0,0,0.002,0.365,0.112,0.02,1.002,0.002,0,1.258,0.101,0,0,0,0,0,31.76
"Bread, pumpkin",52404060,4402,"Biscuits, muffins, quick breads",305,4.97,43.21,22.59,1.4,12.93,2.154,5.152,4.519,42,31,209,1095,1585,1,0,53,0.206,0.183,1.614,0.05,24,12,52,35,34.6,0.15,0,0.8,0.5,2.47,0,15,137,108,18,2.15,0.45,0.071,7.7,153,285,0,0,0,0.011,0.009,0.006,0.013,0.016,0.062,1.481,0.45,0.074,5.002,0.075,0,3.994,0.49,0,0.001,0,0,0,37.1
"Bread, puri",51300180,4202,Yeast breads,409,6.84,39.23,0.18,3.5,24.94,3.339,10.199,9.568,0,0,0,0,1,0,0,52,0.287,0.137,2.926,0.078,24,11,51,35,10.4,0,0,0,0,4.73,0,24.5,16,120,43,2.55,1.04,0.162,10.3,134,170,0,0,0,0,0,0,0,0,0.012,2.433,0.694,0.083,9.937,0.163,0,8.493,1.066,0,0.001,0,0,0,27.99
"Bread, raisin",51129010,4202,Yeast breads,270,8.82,52.21,11.32,2.5,3.26,0.748,0.648,1.688,0,0,0,0,0,0,0,40,0.467,0.228,4.361,0.1,77,23,154,100,14.2,0,0,0.2,0,0.21,0,0.5,196,112,28,3.2,0.83,0.139,20.9,180,408,0,0,0,0.004,0.001,0.006,0.004,0.012,0.013,0.449,0.228,0.02,0.64,0.01,0,1.516,0.181,0,0.002,0.002,0,0,33.68
"Bread, raisin, toasted",51129020,4202,Yeast breads,297,9.69,57.38,12.44,2.8,3.58,0.822,0.712,1.855,0,0,0,0,0,0,0,41,0.413,0.251,4.792,0.11,72,22,144,94,15.7,0,0,0.3,0,0.23,0,0.6,215,123,31,3.52,0.91,0.153,23,197,448,0,0,0,0.005,0.001,0.006,0.005,0.013,0.014,0.494,0.251,0.022,0.704,0.011,0,1.666,0.199,0,0.002,0.002,0,0,27.12
"Bread, rice",51806010,4202,Yeast breads,248,4.31,45.78,3.53,4.3,5.24,0.977,2.009,0.516,0,0,0,0,0,0,0,0,0.375,0.505,2.775,0.073,0,36,36,36,12.6,0,0,0,0,0.6,0,0.3,138,51,12,2.63,0.48,0.075,0.4,75,447,0,0,0,0,0,0.018,0.019,0.015,0.038,0.709,0.147,0.013,1.266,0.008,0,0.496,0.015,0,0.002,0.003,0,0,42.99
"Bread, rice, toasted",51806020,4202,Yeast breads,273,4.74,50.31,3.88,4.7,5.76,1.074,2.208,0.567,0,0,0,0,0,0,0,0,0.33,0.555,3.049,0.08,0,34,34,34,13.8,0,0,0,0,0.66,0,0.3,152,56,13,2.89,0.53,0.082,0.4,82,491,0,0,0,0,0,0.02,0.021,0.016,0.042,0.779,0.162,0.014,1.391,0.009,0,0.545,0.016,0,0.002,0.003,0,0,37.35
"Bread, rye",51401010,4202,Yeast breads,259,8.5,48.3,3.85,5.8,3.3,0.626,1.311,0.799,0,0,0,0,4,1,0,54,0.434,0.335,3.805,0.075,59,51,151,110,14.6,0,0,0.4,0,0.33,0,1.2,73,125,40,2.83,1.14,0.186,30.9,166,570,0,0,0,0,0,0,0,0,0.011,0.385,0.23,0.012,1.296,0.003,0,0.739,0.06,0,0,0,0,0,37.3
"Bread, rye, toasted",51401020,4202,Yeast breads,285,9.34,53.08,4.23,6.4,3.63,0.688,1.441,0.878,0,0,0,0,4,1,0,56,0.382,0.368,4.181,0.082,55,48,141,103,16,0,0,0.4,0,0.36,0,1.3,80,137,44,3.11,1.25,0.204,34,182,626,0,0,0,0,0,0,0,0,0.012,0.423,0.253,0.013,1.424,0.003,0,0.812,0.066,0,0,0,0,0,31.1
"Bread, sour dough",51133010,4202,Yeast breads,272,10.75,51.88,4.62,2.2,2.42,0.529,0.362,0.855,0,0,0,0,0,0,0,45,0.71,0.427,4.817,0.107,95,28,189,123,8,0,0,0,0,0.21,0,0.7,52,105,32,3.91,1.04,0.152,28.6,117,602,0,0,0,0,0,0.001,0.002,0.002,0.006,0.363,0.138,0.011,0.344,0.006,0,0.79,0.064,0,0,0,0,0,33
"Bread, sour dough, toasted",51133020,4202,Yeast breads,299,11.81,57.01,5.08,2.4,2.66,0.581,0.398,0.94,0,0,0,0,0,0,0,47,0.624,0.469,5.293,0.118,89,26,177,115,8.8,0,0,0,0,0.23,0,0.8,57,115,35,4.3,1.14,0.167,31.4,129,662,0,0,0,0,0,0.001,0.002,0.002,0.007,0.399,0.152,0.012,0.378,0.007,0,0.868,0.07,0,0,0,0,0,26.37
"Bread, soy",51804010,4202,Yeast breads,267,16.4,41.95,6.01,4.4,3.84,1.183,0.868,0.758,4,20,21,0,7,0,0,32,0.553,0.297,3.676,0.154,35,74,134,110,9.6,0.06,0,0,0.2,0.27,0,1.5,94,209,73,3.79,1.42,0.355,23.4,528,589,0,0,0,0.033,0.024,0.014,0.033,0.039,0.126,0.614,0.26,0.047,0.818,0.003,0,0.706,0.055,0,0.002,0,0.001,0,34.73
"Bread, soy, toasted",51804020,4202,Yeast breads,293,18.02,46.1,6.6,4.8,4.22,1.3,0.954,0.833,5,21,21,0,7,0,0,33,0.486,0.326,4.04,0.169,33,70,125,102,10.5,0.07,0,0,0.2,0.3,0,1.7,103,230,81,4.17,1.56,0.39,25.7,580,648,0,0,0,0.036,0.026,0.015,0.036,0.043,0.138,0.675,0.286,0.052,0.899,0.003,0,0.776,0.06,0,0.002,0,0.001,0,28.27
"Bread, Spanish coffee",51168000,5506,"Doughnuts, sweet rolls, pastries",348,7.93,58.84,12.11,1.9,9.06,1.501,5.322,1.089,37,16,16,0,0,1,0,55,0.508,0.313,4.022,0.055,57,34,132,91,31,0.07,0,0,0.2,1.63,0,2.1,17,93,19,3.67,0.9,0.1,12.5,115,15,0,0,0,0,0,0,0,0.001,0.004,1.177,0.267,0.118,5.174,0.02,0,0.997,0.06,0,0.001,0,0,0,23.69
"Bread, Spanish coffee",51168000,5506,"Doughnuts, sweet rolls, pastries",348,7.93,58.84,12.11,1.9,9.06,1.501,5.322,1.089,37,16,16,0,0,1,0,55,0.508,0.313,4.022,0.055,57,34,132,91,31,0.07,0,0,0.2,1.63,0,2.1,17,93,19,3.67,0.9,0.1,12.5,115,15,0,0,0,0,0,0,0,0.001,0.004,1.177,0.267,0.118,5.174,0.02,0,0.997,0.06,0,0.001,0,0,0,23.69
"Bread, sprouted wheat",51300300,4202,Yeast breads,188,13.16,33.88,2.63,5.3,0,0,0,0,0,0,0,0,3,0,0,104,0.233,0.079,2.33,0.193,0,0,0,0,14.9,0,0,0,0,0.34,0,1.1,0,176,66,1.89,1.25,0.208,30,198,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.88
"Bread, sprouted wheat, toasted",51300310,4202,Yeast breads,207,14.46,37.23,2.89,5.8,0,0,0,0,0,0,0,0,3,0,0,109,0.205,0.087,2.56,0.212,0,0,0,0,16.4,0,0,0,0,0.37,0,1.2,0,193,73,2.08,1.37,0.229,33,218,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.02
"Bread, sunflower meal",51805010,4202,Yeast breads,306,11.16,47.98,3.1,2.7,8.23,1.585,1.705,4.098,4,17,18,0,3,0,0,42,0.52,0.3,4.405,0.14,46,50,128,96,14.1,0.05,0,0.2,0.2,2.98,0,1,42,213,37,3.66,1.28,0.306,28.1,194,512,0,0,0,0.028,0.021,0.012,0.029,0.034,0.114,0.846,0.449,0.035,1.661,0.007,0,4.044,0.054,0,0.002,0,0.001,0,30.26
"Bread, sunflower meal, toasted",51805020,4202,Yeast breads,336,12.26,52.73,3.4,2.9,9.05,1.742,1.874,4.503,4,18,18,0,4,0,0,44,0.457,0.33,4.841,0.154,43,47,119,89,15.5,0.06,0,0.1,0.2,3.27,0,1.2,46,234,41,4.02,1.41,0.336,30.8,213,563,0,0,0,0.031,0.023,0.013,0.032,0.037,0.125,0.93,0.493,0.038,1.825,0.008,0,4.444,0.059,0,0.002,0,0.001,0,23.36
"Bread, sweet potato",51134000,4202,Yeast breads,241,8.64,45.38,3.53,1.7,2.87,0.96,0.662,0.67,4,16,86,0,840,0,0,38,0.468,0.259,3.476,0.087,42,26,96,67,10.2,0.05,0,4.1,0.2,0.46,0,1.1,36,95,26,3.14,0.7,0.134,18.2,157,474,0,0,0,0.026,0.019,0.011,0.026,0.03,0.099,0.513,0.202,0.027,0.632,0.002,0,0.628,0.045,0,0.001,0,0.001,0,41.28
"Bread, sweet potato, toasted",51134010,4202,Yeast breads,265,9.5,49.87,3.88,1.9,3.15,1.055,0.727,0.736,4,16,89,0,876,0,0,39,0.411,0.285,3.82,0.096,39,24,90,63,11.2,0.05,0,3.8,0.2,0.51,0,1.2,39,104,28,3.45,0.78,0.147,20,173,521,0,0,0,0.029,0.021,0.012,0.029,0.033,0.109,0.564,0.222,0.03,0.695,0.002,0,0.69,0.049,0,0.001,0,0.001,0,35.48
"Bread, vegetable",51135000,4202,Yeast breads,259,9.67,47.98,3.54,1.8,3.26,1.089,0.756,0.762,4,18,48,101,305,13,464,101,0.534,0.295,3.956,0.075,47,29,110,77,10.3,0.06,0,3.9,0.2,0.38,0,4,38,103,27,3.48,0.8,0.139,20.6,161,532,0,0,0,0.029,0.021,0.013,0.03,0.035,0.112,0.58,0.23,0.031,0.722,0.002,0,0.715,0.051,0,0.002,0,0.001,0,37.08
"Bread, vegetable, toasted",51135010,4202,Yeast breads,284,10.62,52.72,3.9,2,3.58,1.197,0.831,0.837,4,19,50,105,319,13,484,105,0.469,0.324,4.347,0.082,44,27,102,72,11.3,0.06,0,3.7,0.2,0.42,0,4.4,42,113,30,3.82,0.88,0.153,22.6,177,584,0,0,0,0.032,0.023,0.014,0.033,0.038,0.123,0.637,0.253,0.034,0.793,0.002,0,0.786,0.056,0,0.002,0,0.001,0,30.86
"Bread, wheat or cracked wheat",51301010,4202,Yeast breads,274,10.67,47.54,5.73,4,4.53,0.697,0.612,1.615,0,0,0,0,1,0,0,44,0.411,0.252,5.59,0.111,20,65,99,85,18.7,0,0,0.2,0,0.19,0,4.9,125,129,41,3.6,1.04,0.148,28.8,141,450,0,0,0,0,0,0,0.001,0.008,0.007,0.44,0.213,0.019,0.577,0.014,0,1.448,0.161,0,0,0.004,0,0,35.25
"Bread, wheat or cracked wheat, toasted",51301020,4202,Yeast breads,301,11.72,52.24,6.3,4.4,4.98,0.766,0.673,1.775,0,0,0,0,1,0,0,46,0.361,0.277,6.143,0.122,19,61,92,79,20.5,0,0,0.2,0,0.21,0,5.4,137,142,45,3.96,1.14,0.163,31.6,155,495,0,0,0,0,0,0,0.001,0.009,0.008,0.484,0.234,0.021,0.634,0.015,0,1.591,0.177,0,0,0.004,0,0,28.85
"Bread, wheat or cracked wheat, with raisins",51301120,4202,Yeast breads,292,8.66,57.73,18.7,3.9,3.72,1.376,0.838,0.719,6,22,22,0,6,1,0,57,0.442,0.229,3.288,0.108,27,34,80,61,12.4,0.05,0,0.3,0.2,0.34,0,1.8,52,133,42,2.88,1.07,0.182,15.6,240,462,0,0,0,0.044,0.031,0.019,0.043,0.05,0.16,0.717,0.267,0.045,0.781,0.005,0,0.672,0.05,0,0.002,0,0.001,0,27.84
"Bread, wheat or cracked wheat, with raisins, toasted",51301130,4202,Yeast breads,321,9.51,63.44,20.55,4.3,4.08,1.512,0.921,0.79,6,23,23,0,6,1,0,59,0.389,0.252,3.613,0.119,25,31,74,57,13.6,0.05,0,0.3,0.2,0.38,0,2,57,147,46,3.17,1.18,0.2,17.2,263,507,0,0,0,0.048,0.034,0.021,0.047,0.055,0.176,0.788,0.293,0.049,0.858,0.005,0,0.738,0.055,0,0.002,0,0.001,0,20.71
"Bread, white",51101000,4202,Yeast breads,267,9.43,49.2,5.34,2.3,3.59,0.821,0.717,1.87,0,0,0,0,0,0,0,44,0.507,0.24,4.76,0.092,86,25,171,111,14.6,0,0,0,0,0.22,0,0.2,211,113,27,3.36,0.88,0.124,23.2,117,450,0,0,0,0.004,0.001,0.006,0.005,0.013,0.014,0.493,0.252,0.022,0.709,0.011,0,1.68,0.2,0,0.002,0.002,0,0,35.7
"Bread, white with whole wheat swirl",51102010,4202,Yeast breads,260,10.86,46.15,4.88,4.2,3.57,0.776,0.666,1.74,0,0,0,0,1,0,0,66,0.449,0.203,4.595,0.154,43,34,106,76,20.9,0,0,0,0,0.38,0,4,187,162,52,2.96,1.32,0.175,24.5,184,440,0,0,0,0.002,0,0.004,0.007,0.013,0.011,0.466,0.244,0.018,0.654,0.014,0,1.57,0.17,0,0.003,0.001,0,0,37.2
"Bread, white with whole wheat swirl, toasted",51102020,4202,Yeast breads,301,12.45,53.39,5.65,4.7,4.12,0.898,0.771,2.014,0,0,0,0,1,0,0,69,0.368,0.236,5.308,0.174,38,31,94,68,23.8,0,0,0,0,0.43,0,4.4,217,185,59,3.44,1.5,0.199,28.2,208,508,0,0,0,0.002,0.001,0.005,0.007,0.015,0.013,0.54,0.281,0.021,0.757,0.016,0,1.816,0.198,0,0.003,0.001,0,0,27.5
"Bread, white, special formula, added fiber",51122300,4202,Yeast breads,238,10.66,43.91,5,9.2,2.15,0.63,0.393,0.973,0,0,0,0,2,0,0,25,0.51,0.255,4.455,0.08,49,78,162,127,8.1,0,0,0,0,0.38,0,7.7,684,103,26,4.89,0.95,0.149,16.1,127,450,0,0,0,0.002,0,0.007,0.004,0.013,0.007,0.324,0.251,0.016,0.366,0.01,0,0.879,0.083,0,0.002,0.003,0,0,39.6
"Bread, white, special formula, added fiber, toasted",51122310,4202,Yeast breads,262,11.71,48.25,5.5,10.1,2.36,0.692,0.432,1.069,0,0,0,0,2,0,0,26,0.448,0.28,4.896,0.088,46,73,151,119,8.9,0,0,0,0,0.42,0,8.5,752,113,29,5.37,1.04,0.164,17.7,140,495,0,0,0,0.002,0,0.008,0.004,0.014,0.008,0.356,0.276,0.018,0.402,0.011,0,0.966,0.091,0,0.002,0.003,0,0,33.63
"Bread, white, toasted",51101010,4202,Yeast breads,293,10.36,54.07,5.87,2.5,3.94,0.902,0.788,2.055,0,0,0,0,0,0,0,46,0.446,0.264,5.231,0.101,80,23,160,104,16,0,0,0,0,0.24,0,0.2,232,124,30,3.69,0.97,0.136,25.5,129,495,0,0,0,0.004,0.001,0.007,0.005,0.014,0.015,0.542,0.277,0.024,0.779,0.012,0,1.846,0.22,0,0.002,0.002,0,0,29.34
"Bread, whole grain white",51300050,4202,Yeast breads,238,10.66,43.91,5,9.2,2.15,0.63,0.393,0.973,0,0,0,0,2,0,0,25,0.51,0.255,4.455,0.08,49,78,162,127,8.1,0,0,0,0,0.38,0,7.7,684,103,26,4.89,0.95,0.149,16.1,127,450,0,0,0,0.002,0,0.007,0.004,0.013,0.007,0.324,0.251,0.016,0.366,0.01,0,0.879,0.083,0,0.002,0.003,0,0,39.6
"Bread, whole grain white, toasted",51300060,4202,Yeast breads,262,11.71,48.25,5.5,10.1,2.36,0.692,0.432,1.069,0,0,0,0,2,0,0,26,0.448,0.28,4.896,0.088,46,73,151,119,8.9,0,0,0,0,0.42,0,8.5,752,113,29,5.37,1.04,0.164,17.7,140,495,0,0,0,0.002,0,0.008,0.004,0.014,0.008,0.356,0.276,0.018,0.402,0.011,0,0.966,0.091,0,0.002,0.003,0,0,33.63
"Bread, whole wheat",51300110,4202,Yeast breads,254,12.3,43.1,4.41,6,3.55,0.732,0.616,1.61,0,0,0,0,2,0,0,87,0.391,0.166,4.43,0.216,0,42,42,42,27.2,0,0,0,0,0.54,0,7.8,163,212,77,2.56,1.76,0.226,25.8,250,430,0,0,0,0,0,0.002,0.008,0.013,0.008,0.44,0.235,0.015,0.599,0.017,0,1.46,0.141,0,0.004,0,0,0,38.7
"Bread, whole wheat, toasted",51300120,4202,Yeast breads,279,13.52,47.36,4.85,6.6,3.9,0.804,0.677,1.769,0,0,0,0,2,0,0,91,0.344,0.182,4.868,0.237,0,39,39,39,29.9,0,0,0,0,0.59,0,8.6,179,233,85,2.81,1.93,0.248,28.4,275,473,0,0,0,0,0,0.002,0.009,0.014,0.009,0.484,0.258,0.016,0.658,0.019,0,1.604,0.155,0,0.004,0,0,0,32.64
"Bread, whole wheat, with raisins",51300210,4202,Yeast breads,290,8.63,56.35,19.48,6.5,4.14,1.48,0.911,0.855,6,23,23,0,7,1,0,96,0.313,0.134,2.873,0.163,0,35,35,35,18.7,0.05,0,0.3,0.2,0.44,0,2.4,59,205,73,2.22,1.75,0.262,11.7,322,480,0,0,0,0.046,0.032,0.019,0.044,0.052,0.166,0.798,0.281,0.045,0.85,0.008,0,0.798,0.06,0,0.002,0,0.001,0,28.47
"Bread, whole wheat, with raisins, toasted",51300220,4202,Yeast breads,319,9.48,61.92,21.41,7.2,4.55,1.626,1.001,0.94,6,24,24,0,7,2,0,100,0.275,0.147,3.157,0.179,0,33,33,33,20.5,0.06,0,0.3,0.2,0.48,0,2.6,65,226,80,2.44,1.93,0.288,12.9,354,528,0,0,0,0.051,0.035,0.021,0.048,0.057,0.182,0.877,0.309,0.049,0.934,0.009,0,0.877,0.066,0,0.002,0,0.001,0,21.4
"Bread, zucchini",52407000,4402,"Biscuits, muffins, quick breads",306,5.05,42.64,22.72,0.9,13.14,2.173,5.229,4.61,43,32,34,0,27,1,0,509,0.213,0.194,1.652,0.073,24,14,55,38,35,0.16,0,3,0.5,2.28,0,12.3,137,109,16,1.93,0.48,0.058,7.7,164,290,0,0,0,0.011,0.009,0.006,0.017,0.016,0.059,1.49,0.456,0.071,5.08,0.076,0,4.064,0.51,0,0.001,0,0,0,37.35
"Breadfruit, cooked",75208501,6418,Other starchy vegetables,123,1.04,26.26,10.65,4.7,2.77,0.713,0.936,0.794,2,11,11,0,5,0,0,20,0.096,0.028,0.828,0.103,0,12,12,12,9.7,0,0,23.9,0,0.48,0,2.6,17,29,24,0.53,0.12,0.081,0.6,475,123,0,0,0,0.018,0.013,0.007,0.017,0.02,0.064,0.394,0.153,0.016,0.9,0.012,0,0.695,0.099,0,0.001,0,0,0,68.72
"Breadfruit, cooked",75208501,6418,Other starchy vegetables,123,1.04,26.26,10.65,4.7,2.77,0.713,0.936,0.794,2,11,11,0,5,0,0,20,0.096,0.028,0.828,0.103,0,12,12,12,9.7,0,0,23.9,0,0.48,0,2.6,17,29,24,0.53,0.12,0.081,0.6,475,123,0,0,0,0.018,0.013,0.007,0.017,0.02,0.064,0.394,0.153,0.016,0.9,0.012,0,0.695,0.099,0,0.001,0,0,0,68.72
Breading or batter as ingredient in food,99995000,9999,Not included in a food category,201,6.56,40.08,0.67,1.6,1.63,0.34,0.317,0.454,21,9,9,0,0,1,0,34,0.497,0.25,3.513,0.043,67,16,129,83,23.3,0.08,0,0,0.1,0.09,0,0.7,49,79,17,2.99,0.51,0.094,10.7,83,245,0,0,0,0,0,0,0,0,0.002,0.244,0.092,0.012,0.302,0,0,0.41,0.026,0,0,0,0,0,50.6
"Breadsticks, hard, gluten free",51808050,5202,"Crackers, excludes saltines",453,11.25,66.3,0.86,10.2,15.84,2.069,7.004,5.981,0,0,0,0,4,0,0,174,0.208,0.173,4.833,0.37,0,35,35,35,27.1,0,0,0,0,1.5,0,13.7,238,374,164,2.83,2.64,0.549,17.4,381,438,0,0,0,0,0,0,0,0,0.011,1.253,0.668,0.016,6.93,0.041,0.005,5.037,0.926,0,0.004,0.008,0,0,3.59
"Breadsticks, hard, NFS",51184000,5202,"Crackers, excludes saltines",412,12,68.4,1.26,3,9.5,1.41,3.568,3.628,0,0,0,0,1,0,0,65,0.589,0.553,5.281,0.073,132,30,255,162,14.6,0,0,0,0,1.01,0,2.2,22,121,32,4.28,0.88,0.188,37.5,124,713,0,0,0,0,0,0,0,0.001,0.009,0.981,0.406,0.066,3.494,0,0,3.377,0.244,0,0,0,0,0,6.1
"Breadsticks, hard, NFS",51184000,5202,"Crackers, excludes saltines",412,12,68.4,1.26,3,9.5,1.41,3.568,3.628,0,0,0,0,1,0,0,65,0.589,0.553,5.281,0.073,132,30,255,162,14.6,0,0,0,0,1.01,0,2.2,22,121,32,4.28,0.88,0.188,37.5,124,713,0,0,0,0,0,0,0,0.001,0.009,0.981,0.406,0.066,3.494,0,0,3.377,0.244,0,0,0,0,0,6.1
